relation,n_gt,n_random,cutoff_density_intersection,cutoff_youdenJ,youdenJ_TPR,youdenJ_FPR,youdenJ_J,cutoff_roc_knee,roc_knee_TPR,roc_knee_FPR
chemicalentity_positivelyassociatedwith_biologicalprocess,509,509,-0.4406748449983525,-0.46359181994234167,0.8958742632612967,0.0275049115913556,0.8683693516699411,-0.47721596784192366,0.899803536345776,0.03732809430255403
chemicalentity_promotes_biologicalprocess,1000,1000,-0.720606021595707,-0.7133147356956826,0.963,0.023,0.94,-0.7133147356956826,0.963,0.023
chemicalentity_protein,1000,1000,-0.31531174069996193,-0.32940236605623685,0.967,0.031,0.9359999999999999,-0.32940236605623685,0.967,0.031
chemicalentity_tissue,258,258,-0.5117140632310003,-0.5201451128907966,0.8914728682170543,0.27906976744186046,0.6124031007751938,-0.4484865168944916,0.8604651162790697,0.24806201550387597
disease_anatomicalentity,1000,1000,-0.14841467097466093,-0.05415805193902834,0.833,0.139,0.694,-0.05415805193902834,0.833,0.139
disease_chemicalentity,1000,1000,-0.08153222117955378,-0.0776953705230996,0.952,0.047,0.9049999999999999,-0.0776953705230996,0.952,0.047
disease_disease,1000,1000,-0.24552584895095472,-0.06791167642535445,0.734,0.22,0.514,-0.06791167642535445,0.734,0.22
disease_gene,1000,1000,-0.0670683593627895,-0.03557541173870771,0.975,0.014,0.961,-0.03557541173870771,0.975,0.014
disease_mutation,425,425,-0.10464005939102292,-0.09604468721025938,0.9294117647058824,0.2,0.7294117647058824,-0.07696133307602482,0.9176470588235294,0.19294117647058823
disease_pathway,866,866,-0.09056002683999188,-0.045030117941957215,0.9422632794457275,0.09237875288683603,0.8498845265588915,-0.045030117941957215,0.9422632794457275,0.09237875288683603
disease_phenotype,1000,1000,-0.14700480965148408,-0.13467799957939697,0.928,0.206,0.7220000000000001,-0.10774292418371001,0.902,0.184
gene_anatomicalentity,1000,1000,-0.1254763320330949,-0.1207229846138711,0.986,0.044,0.942,-0.1207229846138711,0.986,0.044
gene_biologicalprocess,1000,1000,-0.07902307114952724,-0.02598869748005228,0.861,0.074,0.787,-0.02598869748005228,0.861,0.074
gene_cellularcomponent,1000,1000,-0.12100570612396529,-0.04577622884807209,0.876,0.217,0.659,-0.023084830648345545,0.824,0.17
gene_chemicalentity,1000,1000,-0.0647649460786969,-0.04034873926731253,0.91,0.095,0.8150000000000001,-0.04034873926731253,0.91,0.095
gene_disease,1000,1000,-0.0776916028583963,-0.06856610306512856,0.973,0.185,0.788,-0.0346890922844052,0.885,0.097
gene_gene,1000,1000,-0.10409724265780079,-0.06660427579927664,0.926,0.104,0.8220000000000001,-0.06660427579927664,0.926,0.104
